location,name,dm,cost_date,dcp_food,dcp_paper,dcp_supplies,br_supplies,sales_tax_dcp,for_the_week_end,production,total_food_cost,total_paper_cost,flash_food_total
330187,"2248 Centr Park Ave, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,208.85,208.85,0,208.85
331991,"1591 Centr Park Ave, Yonk",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,168.15,168.15,0,168.15
347066,"433 Riverdale Ave, Yonkers",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,160.58,160.58,0,160.58
348518,"433 Lincoln Ave, Pelham",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,205.06,205.06,0,205.06
332915,"851 Yonkers Ave, Yonkers",Irfan Mamsa,2025-10-08,0,0,0,0,0,0,221.05,221.05,0,221.05
350605,235 Blythewood Rd,Jasper Cureton,2025-10-08,4192.39,801.01,146.82,0,15.14,5155.36,0,4207.53,947.83,5155.36
302065,"2423 Wade Hampt Bl, Greenv",Kayle Cash,2025-10-08,1914.62,263.58,13.12,0,1.87,2193.19,0,1916.49,276.7,2193.19
350096,"2933 N. Main Str, Anderson",Kayle Cash,2025-10-08,3158.16,615.09,681.71,0,52.34,4507.3,0,3210.5,1296.8,4507.3
345196,"2903 N. Pleas. Dr, Greenv",Kayle Cash,2025-10-08,1618.89,664.04,178.05,0,19.42,2480.4,0,1638.31,842.09,2480.4
356749,"3421 Hwy153, Powdersville",Kayle Cash,2025-10-08,2639.13,418.9,228.16,0,18.41,3304.6,0,2657.54,647.06,3304.6
356134,"744 St. Andrews Rd, Col",Nathan Stephenson,2025-10-08,2573.41,526.72,100.92,0,9.28,3210.33,0,2582.69,627.64,3210.33
351661,"937 Lake Murray Bl, Irmo",Nathan Stephenson,2025-10-08,2654.97,512.5,26.83,0,8.8,3203.1,0,2663.77,539.33,3203.1
358804,"1131 Duth Fork Rd, Irmo",Nathan Stephenson,2025-10-08,2404.91,629.57,216.13,0,24.17,3274.78,0,2429.08,845.7,3274.78
350817,"1123 S. Lake Dr, Lexington",Nathan Stephenson,2025-10-08,2284.58,559.83,-18.83,0,0.78,2826.36,0,2285.36,541,2826.36
351286,"3303 Devine Str, Col",Robin Russell,2025-10-08,2794.17,585.7,282.97,0,12.48,3675.32,0,2806.65,868.67,3675.32
355212,,,2025-06-04,1834.43,313.93,149.98,0,7.95,2306.29,0,1842.38,463.91,2306.29
356128,,,2025-06-04,5564.97,470.11,191.32,0,9.89,6236.29,0,5574.86,661.43,6236.29
355496,,,2025-06-04,4073.13,305.71,293.35,0,5.85,4678.04,0,4078.98,599.06,4678.04
354043,,,2025-06-04,6160.9,806.81,208.31,0,12.87,7188.89,0,6173.77,1015.12,7188.89
330441,"42 Lake Str, WP",Brad McAllister,2025-06-04,0,0,0,0,0,0,197.61,197.61,0,197.61
331260,"505A Bedford Rd, Pl",Brad McAllister,2025-06-04,0,0,0,0,0,0,140.76,140.76,0,140.76
310249,"755 North Broadway, WP",Brad McAllister,2025-06-04,0,0,0,0,0,0,126.5,126.5,0,126.5
344719,"80 N. State Rd, Br Man",Brad McAllister,2025-06-04,0,0,0,0,0,0,207.96,207.96,0,207.96
310225,5 Goldens Bridge,Brad McAllister,2025-06-04,0,0,0,0,0,0,163.96,163.96,0,163.96
346154,"2 Washington Ave, Pl",Brad McAllister,2025-06-04,0,0,0,0,0,0,181.19,181.19,0,181.19
330429,"570 Mamaroneck Ave, WP",Brad McAllister,2025-06-04,0,0,0,0,0,0,552.95,552.95,0,552.95
345300,"425 Central Park Ave, WP",Brad McAllister,2025-06-04,0,0,0,0,0,0,137.8,137.8,0,137.8
348176,"25 North Salem Rd, CR",Brad McAllister,2025-06-04,0,0,0,0,0,0,137.05,137.05,0,137.05
